Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
1,10000,10000,0.10,0.09,20000,211,7.781990521327014,4.351229472657039
10,10000,10000,13.56,0.17,20000,719,7.328233657858136,4.5282365203603465
20,10000,10000,26.08,0.03,20000,1392,7.440373563218391,4.486985013534163
30,10000,10000,0.64,0.00,20000,1961,7.402855685874554,4.397340569684756
40,10000,10000,0.98,0.00,20000,2554,7.258809710258419,4.499637744113274
50,10000,10000,14.59,0.00,20000,861,7.86411149825784,4.3964971581899475
60,10000,10000,1.39,0.00,20000,3642,7.369577155409116,4.423866917396386
70,10000,10000,1.62,0.00,20000,4096,7.243896484375,4.3354840369281655
80,10000,10000,2.07,0.00,20000,4605,7.332464712269273,4.447101881512458
90,10000,10000,2.06,0.00,20000,4524,7.311671087533156,4.422785448378864
100,10000,10000,2.27,0.00,20000,1613,7.523868567885927,4.382200282700744
110,10000,10000,2.62,0.00,20000,4519,7.305156007966365,4.323724914585884
120,10000,10000,3.12,0.00,20000,4555,7.269374313940724,4.399177412348001
130,10000,10000,2.99,0.00,20000,4593,7.21685173089484,4.366785859734797
140,10000,10000,3.32,0.00,20000,4702,7.26860910250957,4.380871249950509
150,10000,10000,31.77,0.00,20000,2348,7.605621805792164,4.489290660172727
160,10000,10000,3.96,0.02,20000,4751,7.339507472111134,4.437860424443167
170,10000,10000,42.07,0.02,20000,4743,7.240775880244571,4.4184592743012745
180,10000,10000,4.59,0.00,20000,4748,7.2973883740522325,4.41367561856832
190,10000,10000,21.61,0.03,20000,4708,7.302463891248938,4.375203207368825
200,10000,10000,38.17,0.00,20000,2947,7.601289446895148,4.429676624386945
210,10000,10000,26.44,0.05,20000,4768,7.269505033557047,4.458528243648152
220,10000,10000,60.03,0.09,20000,4734,7.326784959864808,4.37381389353717
230,10000,10000,62.31,0.33,20000,4838,7.343943778420835,4.402662320472215
240,10000,10000,59.72,0.34,20000,4794,7.345848977889028,4.359319711670904
250,10000,10000,23.45,0.00,20000,1170,8.157264957264957,4.422806517558326
260,10000,10000,63.34,0.03,20000,4782,7.374111250522794,4.412663485036229
270,10000,10000,61.88,0.05,20000,4730,7.417758985200845,4.415282008391675
280,10000,10000,62.87,0.06,20000,4743,7.371705671515918,4.4031755655880085
290,10000,10000,63.58,0.02,20000,4744,7.358768971332209,4.418478802180673
300,10000,10000,55.42,0.12,20000,3942,7.4967021816336885,4.421162491849345
310,10000,10000,61.39,0.02,20000,4786,7.368157124947764,4.404218248393955
320,10000,10000,69.59,0.05,20000,4799,7.391331527401542,4.3634647701382425
330,10000,10000,60.31,0.02,20000,4724,7.389077053344623,4.432018230702556
340,10000,10000,65.11,0.02,20000,4780,7.466317991631799,4.482081159054727
350,10000,10000,61.51,0.00,20000,4401,7.483980913428766,4.496794834667261
360,10000,10000,64.52,0.00,20000,4714,7.46308867204073,4.402661016341274
370,10000,10000,60.14,0.12,20000,4695,7.438551650692226,4.40668098133336
380,10000,10000,61.51,0.02,20000,4713,7.489072777424146,4.447669866659655
390,10000,10000,61.64,0.05,20000,4735,7.3824709609292505,4.424084931359377
400,10000,10000,69.66,0.05,20000,4761,7.497374501155219,4.393038256390943
410,10000,10000,63.49,0.00,20000,4738,7.419375263824398,4.339841040360901
420,10000,10000,66.90,0.03,20000,4701,7.507551584769198,4.436190188322195
430,10000,10000,67.22,0.08,20000,4722,7.378017789072427,4.411386891152565
440,10000,10000,63.16,0.00,20000,4732,7.450126796280642,4.435574895209043
450,10000,10000,66.33,0.22,20000,4675,7.379251336898395,4.3807009406758946
460,10000,10000,67.86,0.08,20000,4751,7.462428962323721,4.387471243145221
470,10000,10000,62.24,0.02,20000,4690,7.517697228144989,4.383927077377313
480,10000,10000,69.86,0.00,20000,4760,7.500840336134454,4.450328145281432
490,10000,10000,71.16,0.00,20000,4746,7.50716392751791,4.400839474149415
500,10000,10000,44.86,0.05,20000,2125,7.9731764705882355,4.441366869543569
1,100000,100000,0.59,0.56,200000,297,6.7407407407407405,4.24225727022145
10,100000,100000,0.69,0.52,200000,2034,7.091445427728614,4.351783344067706
20,100000,100000,0.78,0.41,200000,4003,7.0209842618036475,4.270356116276746
30,100000,100000,0.89,0.36,200000,5667,7.013587436033174,4.335513095694009
40,100000,100000,0.89,0.34,200000,7668,7.055425143453313,4.343017740350616
50,100000,100000,51.85,0.25,200000,3355,7.336512667660209,4.433335705033809
60,100000,100000,114.18,0.16,200000,11337,7.177913028137955,4.36957294630545
70,100000,100000,101.42,0.16,200000,13155,7.101102242493348,4.332830197101403
80,100000,100000,162.82,1.66,200000,15066,7.101752289924333,4.3518883498692364
90,100000,100000,204.30,0.48,200000,17004,7.145612796988944,4.350555615038131
100,100000,100000,96.17,0.22,200000,6712,7.339988081048868,4.417595087441319
110,100000,100000,255.27,1.66,200000,20423,7.132938353816775,4.348495712629281
120,100000,100000,278.76,1.08,200000,22306,7.141890074419439,4.351934888621631
130,100000,100000,306.27,0.36,200000,24391,7.0886392521831825,4.306008854673959
140,100000,100000,283.79,0.22,200000,25912,7.139356282803335,4.332998377088264
150,100000,100000,137.18,0.14,200000,10058,7.30682044143965,4.450194500753072
160,100000,100000,348.56,0.30,200000,29238,7.107360284561188,4.328137010946384
170,100000,100000,374.03,0.11,200000,29937,7.1471089287503755,4.329271139380056
180,100000,100000,395.51,2.11,200000,30347,7.134379016047715,4.343122925493663
190,100000,100000,413.08,2.31,200000,31029,7.119630023526379,4.37367609521042
200,100000,100000,197.85,1.23,200000,13476,7.342460670822202,4.45314959315423
210,100000,100000,411.70,0.28,200000,32060,7.168839675608234,4.35646546148732
220,100000,100000,415.29,0.22,200000,32671,7.133268035872792,4.34745087123507
230,100000,100000,413.28,1.16,200000,32929,7.146618482188952,4.346990115878002
240,100000,100000,437.17,2.64,200000,33351,7.13915624718899,4.348358444875642
250,100000,100000,72.97,0.05,200000,4384,7.748859489051095,4.435778822962603
260,100000,100000,422.33,2.50,200000,34531,7.182068286467232,4.343305385362377
270,100000,100000,447.15,1.02,200000,35165,7.123275984643822,4.365999927773055
280,100000,100000,462.43,0.16,200000,35853,7.172035812902686,4.391008694526351
290,100000,100000,459.62,1.08,200000,36313,7.138683116239363,4.359118775240847
300,100000,100000,274.27,0.27,200000,19721,7.307743015060089,4.456320053582266
310,100000,100000,480.33,4.11,200000,37329,7.172011036995365,4.380236187878604
320,100000,100000,480.18,1.84,200000,38206,7.201486677485212,4.38217754734461
330,100000,100000,453.71,0.25,200000,38379,7.161077672685583,4.369694076601661
340,100000,100000,499.01,0.34,200000,38362,7.159506803607737,4.370563074274663
350,100000,100000,305.55,0.30,200000,22547,7.334545615824721,4.42424191753054
360,100000,100000,482.20,1.41,200000,39155,7.166185672327927,4.376959874737501
370,100000,100000,515.50,3.19,200000,38950,7.175019255455712,4.367057698019395
380,100000,100000,511.65,0.50,200000,39358,7.171070684486001,4.361282919677924
390,100000,100000,552.58,0.33,200000,39560,7.214079878665318,4.373387566582997
400,100000,100000,365.15,0.20,200000,25468,7.300534003455317,4.42127115432644
410,100000,100000,522.15,1.38,200000,40090,7.188475929159392,4.373429954588695
420,100000,100000,527.99,2.02,200000,40443,7.207798630170858,4.379548785233288
430,100000,100000,536.76,0.67,200000,40597,7.197182057787521,4.377920481611099
440,100000,100000,521.39,0.19,200000,40845,7.169200636552822,4.36410732331695
450,100000,100000,394.68,0.17,200000,28426,7.279110673327236,4.397974811448983
460,100000,100000,547.02,4.08,200000,41784,7.211229178632969,4.4068178800691555
470,100000,100000,540.75,1.28,200000,41909,7.185616454699468,4.3723915432577725
480,100000,100000,545.53,0.23,200000,42421,7.212630536762452,4.377813832266732
490,100000,100000,547.12,0.81,200000,42464,7.226073850791258,4.392875765197359
500,100000,100000,140.28,0.19,200000,8586,7.769275564873049,4.471770445102056
